01-07 21:36:57 | Episode 2652 | Mean(10) 201.5 | Saved model
01-07 21:36:58 | Episode 2653 | Mean(10) 202.3 | Saved model
01-07 21:36:59 | Episode 2654 | Mean(10) 214.6 | Saved model
01-07 21:36:59 | Episode 2655 | Mean(10) 230.5 | Saved model
01-07 21:40:51 | Episode 2992 | Mean(10) 240.4 | Saved model
01-07 21:40:54 | Episode 2996 | Mean(10) 241.5 | Saved model
01-07 21:42:20 | Episode 3133 | Mean(10) 243.0 | Saved model
01-07 21:42:42 | Episode 3171 | Mean(10) 243.5 | Saved model
01-07 21:42:43 | Episode 3172 | Mean(10) 243.9 | Saved model
01-07 21:43:22 | Episode 3232 | Mean(10) 251.4 | Saved model
01-07 21:43:22 | Episode 3233 | Mean(10) 254.4 | Saved model
01-07 21:43:22 | Episode 3234 | Mean(10) 257.2 | Saved model
01-07 21:45:05 | Episode 3431 | Mean(10) 260.8 | Saved model
01-07 21:45:06 | Episode 3433 | Mean(10) 261.7 | Saved model
01-07 21:45:07 | Episode 3434 | Mean(10) 274.1 | Saved model
01-07 21:46:13 | Episode 3588 | Mean(10) 274.8 | Saved model
01-07 21:46:13 | Episode 3589 | Mean(10) 276.1 | Saved model
01-07 21:46:49 | Episode 3680 | Mean(10) 276.2 | Saved model
01-07 21:46:49 | Episode 3681 | Mean(10) 279.5 | Saved model
01-07 21:48:42 | Episode 3987 | Mean(10) 280.5 | Saved model
01-07 21:48:56 | Episode 4023 | Mean(10) 283.3 | Saved model
01-07 21:48:56 | Episode 4025 | Mean(10) 285.0 | Saved model
01-07 21:52:31 | Episode 4744 | Mean(10) 287.2 | Saved model
01-07 21:53:20 | Episode 4955 | Mean(10) 288.2 | Saved model
01-07 21:53:57 | Episode 5114 | Mean(10) 288.2 | Saved model
01-07 21:54:08 | Episode 5156 | Mean(10) 288.3 | Saved model
01-07 21:54:30 | Episode 5247 | Mean(10) 290.4 | Saved model
01-07 21:55:22 | Episode 5482 | Mean(10) 291.9 | Saved model
01-07 21:58:26 | Episode 6301 | Mean(10) 292.8 | Saved model
01-07 21:58:26 | Episode 6302 | Mean(10) 293.2 | Saved model
01-07 21:58:26 | Episode 6303 | Mean(10) 297.4 | Saved model
01-07 22:04:06 | Episode 8162 | Mean(10) 301.1 | Saved model
01-07 22:14:13 | Episode 11735 | Mean(10) 301.6 | Saved model
01-07 22:14:13 | Episode 11736 | Mean(10) 304.0 | Saved model
